4-Digit ID,Total Hours
1009,2
1013,18.41666667
1020,1
1031,0
1032,6.166666667
1035,0
1038,3
1039,7.166666667
1041,10.25
1041,0
1046,23.25
1047,1
1055,30.91666667
1056,1
1059,1
1063,1
1064,0
1067,0
1075,4
1078,0
1111,30.5
1112,26.25
1113,0
1121,24
1122,0
1125,0
1140,0
1141,3
1143,0
1145,14
1147,23
1156,6.333333333
1160,37.16666667
1163,17
1168,3
1171,1
1172,6.5
1172,6.75
1176,1
1176,7.833333333
1182,0
1185,24
1189,6
1197,17.58333333
1227,7
1228,7
1231,1
1232,32
1248,1
1281,12.5
1285,0
1292,5.5
1292,25.08333333
1294,19.5
1297,0
1300,
1302,20
1308,0
1311,13.16666667
1313,2
1319,0
1329,1
1340,0
1341,0
1363,0
1370,0
1381,0
1401,33.75
1414,42.08333333
1417,11
1430,0
1434,11.5
1439,0
1440,77.5
1451,0
1461,1
1471,1
1509,1
1518,0
1554,0
1558,8
1560,0
1598,0
1599,0
1603,1
1605,0
3055,11.5
3074,10.5
3087,14.75
3140,34.16666667
3188,6
3207,42.5
3208,29.5
3246,23.58333333
3248,58.66666667
3252,67.58333333
3254,3.5
3277,3
3295,10.5
3296,0
3310,15
3314,10.5
3335,6.666666667
3342,39.75
3406,1
3449,3
3456,0
3463,8
3492,33.83333333
3500,0
3522,0
3544,7
3635,54.33333333
3670,28.33333333
3674,60.66666667
3714,6
3723,27.83333333
3784,6
3787,67.5
3837,23.5
3865,9.5
3868,3
3890,8
3968,0
3992,0
4013,0
4018,27.66666667
4021,0
4042,66.16666667
4043,0
4045,15
4064,0
4067,3
4070,0
4083,0
4104,20
4105,0
4107,4.5
4117,40.25
4125,6
4132,24
4138,0
4154,29.5
4179,48.75
4183,13.5
4190,16.33333333
4192,77.25
4204,72.75
4210,4.5
4215,0
4220,13
4221,0
4238,7
4254,53.08333333
4262,3
4283,26.16666667
4302,
4316,9
4344,29.5
4351,41
4352,0
4359,4.5
4384,32
4411,21.25
4413,4.5
4414,21.66666667
4418,36.91666667
4422,17.5
4437,61.66666667
4454,4.5
4456,0
4457,0
4466,19.58333333
4491,0
4512,3
4524,0
4532,11.5
4576,18
4584,6
4604,0
4611,85.33333333
4617,8.5
4619,0
4634,23.83333333
4650,13.5
4653,0
4669,0
4684,0
4687,8.5
4704,22.83333333
4719,17.33333333
4724,33.33333333
4729,0
4734,11.75
4747,42.75
4802,0
4803,11.5
4806,68.58333333
4807,44.16666667
4833,42.5
4850,20.33333333
4854,3
4857,0
4860,4.5
4863,0
4919,13.33333333
4935,0
4936,0
4950,53.5
4952,22.5
4963,30.66666667
4970,40.16666667
5007,13
5010,0
5015,3
5018,8
5019,8
5030,7
5034,0
5042,0
5042,0
5046,11.91666667
5053,2.25
5056,4.5
5082,0
5094,0
5096,0
5105,10
5154,6
5174,0
5182,0
5196,0
5207,0
5211,0
5224,0
5229,37.16666667
5232,8
5245,5
5254,3.75
5259,0
5263,0
5265,
5278,10
5286,0
5291,7
5296,15.75
5297,57.66666667
5326,4
5331,0
5334,0
5337,0
5341,0
5343,0
5345,0
5349,19
5379,0
5400,0
5403,3
5415,0
5419,0
5426,20
5444,0
5451,7.5
5458,0
5488,0
5494,21
5511,0
5513,0
5519,0
5521,19.41666667
5524,0
5546,0
5555,0
5559,4.5
5564,0
5571,19.33333333
5572,7.833333333
5590,6
5600,3
5615,4.5
5630,0
5634,0
5647,0
5653,0
5668,11.5
5678,5
5685,82.16666667
5709,0
5720,0
5723,13
5765,10.5
5767,0
5770,0
5771,17.5
5822,0
5831,10.5
5846,13.75
5860,0
5864,0
5866,0
5872,4
5875,0
5878,16.25
5880,0
5906,0
5909,4
5917,10.5
5927,26.66666667
5933,0
5938,0
5956,9.5
5961,26.91666667
5973,0
5976,0
5989,0
5992,0
5998,5
7319,0
9369,0
