Date,Activity,Length,Count (of attendees)
6/4/2016,The Hamilton-Madison Music School Book Sale,240 min,10
6/4/2016,Go Green! BK Festival,240 min,8
6/5/2016,NYC Hemophilia Walk,240 min,15
6/5/2016,We Run for Hope 5K ,240 min,4
6/5/2016,7th Annual Big Apple Run For the Warriors,270 min,3
6/5/2016,Rubin Museum Family Sundays,210 min,2
6/10/2016,Stuy Outlet Showcase,120 min,26
6/11/2016,NYC Rathyatra Parade,450 min,16
6/11/2016,HFPC Bensonhurst,420 min,
6/11/2016,Alumni Day,390 min,133
6/12/2016,Liver Life Walk,300 min,12
6/12/2016,Bike the Boros: BQT,,27
6/12/2016,Rubin Museum Family Sundays,210 min,1
"6/16/2016, 6/20/2016, 6/21/2016",Volunteering at P.S. 310,"390 min (each day) 
1,170 min in total",5
6/18/2016,Hudson River Park Green Team! Part 2,180 min,3
6/18/2016,Tristate MG Walk,300 min,13
6/18/2016,The 10th Annual Tavern Cup 10K,180 min,8
6/18/2016,Annual Puppetry Arts Festival,420 min,16
6/19/2016,Raid Cross,330 min,
6/19/2016,Weekend Volunteer Corps,180 min,11
6/19/2016,Father's Day Metropolitan Hospital ,180 min,5
"6/18/2016, 6/25/2016",Grand Street Block Party,360 min,21
6/25/16,SeriousFun Messtival,420 min,20
6/25/16,TRC Basketball Tournament 2016,660 min,23
6/29/16,GO Porject Backpack Assembly,90 min,13
6/30/16,NYC Police Chase 5K,180 min,13
7/9/16,Taste of Queens 5k,150 min,32
7/9/16,Come Out & Play Festival 2016,540 min,12
7/10/16,Lymphoma Walk,390 min,15
7/10/16,NYSoM Independence Day Cookout,180 min,5
7/22/16,Prepping for the Epic Ride,240 min,9
7/23,"AAIFF 
(Asian American International Film Festival)",690 min,6
7/24/16,Challenge Nation Scavenger Hunt,300 min,5
7/24/16,NYC Panasonic Triathlon,240 min,16
7/24/16,ADA Weekend Walk,480 min,50
7/28/16 - 7/31/16,NYC Poetry Festival,2160 min,28
7/31/16,29th Annual Central Park Triathlon,300 min,12
8/13/16,MS Run the US,240 min,8
8/13/16,CPC 3-on-3 Basketball Tournament,600 min,6
8/13 - 8/20,Summer Streets,480 min,12
8/10/16-8/17/16,Uptown Bounce,420 min,13
8/15/16-8/19/16,Socrates Park Sculpture Camp,"1,500 min. (300 per day)",20
8/19/16 / 8/21/16,CityArts Alice Wall Mural,840 min,22
8/20/16,Clean Up With Assemblyman Colton,120 min,15
8/26/16 - 8/28/16,CityArts Alice Wall Mural,1230 min ,26
8/27/16,NYSoM Back to School Bonanza,360 min,25
8/27/16,Hudson River Park Green Team! Part 4,180 min,5
8/30/16,Holy Apostles Soup Kitchen,210 min,7
8/30/16,Daisy's Food Pantry,360 min,5
8/31/16,Summer Meals,390 min,22
9/10/16,Race for the Cure,420 min,14
9/17/16,Medieval Festival,780 min,15
9/25/16,ECPAT Atlantic Antic Festival,300 min,12
10/2/2016,Liz Padilla Memorial 5K ,230 min,15
10/2/16,Putting Up Posters with the UPYD Club,180 min,
10/8/16,Columbus Day Parade,120 min,
